Data,Nº Nota Fiscal,Placa,Fornecedor,Km Inicial,Km Final,Km Total,Qtde. Litros,Média,Peso,Média Peso,Desconto,Valor Total,Centro de Custo,Plano de Contas
2/8/2025,,QIZ-3E10,COMERCIO DE COMBUSTIVEIS CACHOEIRA LTDA,551346,552650,1304,"631,24","2,07","0,00","0,00","R$ 0,00 ","R$ 3.749,55 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/10/2025,,RCP-3F78,DOMINGOS COMERCIAL DE COMBUSTIVEIS PLANALTO LTDA,473096,473627,531,"428,69","1,24","0,00","0,00","R$ 0,00 ","R$ 2.696,46 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/11/2025,,PES-6F45,GAM COMERCIO DE COMBUSTIVEIS LTDA,1142568,1143570,1002,"514,54","1,95","0,00","0,00","R$ 0,00 ","R$ 3.123,25 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/11/2025,,QIZ-3E10,AUTO POSTO PAMONHAO LTDA,552650,554190,1540,"200,00","7,70","0,00","0,00","R$ 0,00 ","R$ 1.250,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/11/2025,,SOC-0G05,AUTO POSTO PAMONHAO LTDA,76343,77854,1511,"200,00","7,55","0,00","0,00","R$ 0,00 ","R$ 1.250,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/11/2025,,PFB-2A13,AUTO POSTO ALVARES E DUTRA COMERCIO DE COMBUSTIVEIS LTDA,1054358,1055155,797,"314,92","2,53","0,00","0,00","R$ 0,00 ","R$ 1.980,83 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/11/2025,,SNO-6F99,MARIAH COMERCIO DE COMBUSTIVEIS LTDA,126263,127477,1214,"300,00","4,05","0,00","0,00","R$ 0,00 ","R$ 1.887,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/11/2025,,QQN-8J78,VILA DE GOIANA COMERCIO DE COMBUSTIVEIS LTDA,591852,592936,1084,"300,00","3,61","0,00","0,00","R$ 0,00 ","R$ 1.872,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/12/2025,,SOC-0G05,TORRES COMERCIO E DERIVADOS DE PETROLEO LTDA,77854,78527,673,"580,01","1,16","0,00","0,00","R$ 0,00 ","R$ 3.514,86 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/12/2025,,QIZ-3E10,TORRES COMERCIO E DERIVADOS DE PETROLEO LTDA,554190,554869,679,"200,20","3,39","0,00","0,00","R$ 0,00 ","R$ 1.213,21 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/12/2025,,SNO-6F99,AUTO POSTO POLO LTDA,127477,127680,203,"434,92","0,47","0,00","0,00","R$ 0,00 ","R$ 2.648,64 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/13/2025,,PFB-2A13,POSTO PETROTURBO LTDA,1055155,1056425,1270,"330,05","3,85","0,00","0,00","R$ 0,00 ","R$ 2.009,99 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/13/2025,,QQN-8J78,INVESTGAS LOCACAO E INVESTIMENTO LIMITADA,592936,593644,708,"479,31","1,48","0,00","0,00","R$ 0,00 ","R$ 3.000,48 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/14/2025,,QIZ-3E10,COMERCIO DE COMBUSTIVEIS JAQUEIRA LTDA,554869,555093,224,"469,04","0,48","0,00","0,00","R$ 0,00 ","R$ 2.781,39 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/15/2025,,QQN-8J78,DOMINGOS COMERCIAL DE COMBUSTIVEIS PLANALTO LTDA,593644,594987,1343,"200,00","6,72","0,00","0,00","R$ 0,00 ","R$ 1.188,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/15/2025,,EGJ-4B71,ARLINDO DA FONSECA LINS & CIA LTDA,653051,653612,561,"200,00","2,81","0,00","0,00","R$ 0,00 ","R$ 1.258,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/15/2025,,SOC-0G05,COMERCIO DE COMBUSTIVEIS JAQUEIRA LTDA,78527,80119,1592,"555,65","2,87","0,00","0,00","R$ 0,00 ","R$ 3.294,99 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/16/2025,,RCP-3F78,ECO VIP COMERCIO DE COMBUSTIVEIS LTDA,473627,475822,2195,"288,93","7,60","0,00","0,00","R$ 0,00 ","R$ 1.808,70 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/17/2025,,EGJ-4B71,VILA JARDIM COMERCIO DE COMBUSTIVEL LTDA,653612,654174,562,"100,00","5,62","0,00","0,00","R$ 0,00 ","R$ 626,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
2/18/2025,,EGJ-4B71,J A D ARAUJO & CIA LTDA,654174,654339,165,"200,00","0,82","0,00","0,00","R$ 0,00 ","R$ 1.192,00 ",COMBUSTIVEL ,DESP. PRODUCAO   
